celltype	emergence_time	key_TF	times_on_this_list	determined_score	edge	edge_weight	TF_family	avg_logFC_1	pct_1_1	pct_2_1	p_val_adj_1	avg_logFC_2	pct_1_2	pct_2_2	p_val_adj_2
dorsal marginal zone	hpfS10	lhx1	6	1.90444758410618	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Homeobox	2.16043948160634	0.712	0.087	7.7344429032659e-167	1.68127488909624	0.712	0.19	1.63762826285648e-205
dorsal marginal zone	hpfS10	gsc	2	1.68491658287193	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Homeobox	1.52579090914683	0.606	0.119	1.29187601901915e-100	2.12869970002459	0.606	0.028	0
dorsal marginal zone	hpfS10	foxa4	4	0.659057195803068	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Fork_head	1.2798123440191	0.701	0.289	4.32672866162456e-71	1.31809226824562	0.701	0.283	3.16736203288509e-119
dorsal marginal zone	hpfS10	otx2	6	0.619321607708153	S10:dorsal marginal zone_S8:blastula	0.98842231708323	TF_Otx	1.3377112772425	0.514	0.069	7.70654710366465e-97	1.21476297490351	0.514	0.158	1.43422684746323e-112
dorsal marginal zone	hpfS10	crx	5	0.588974423160517	S10:dorsal marginal zone_S8:blastula	0.98842231708323	TF_Otx	1.64577470151896	0.833	0.235	1.69874795528801e-149	0.85437631443333	0.833	0.517	1.23702464650276e-82
dorsal marginal zone	hpfS10	gata2	14	0.473508510489061	S10:dorsal marginal zone_S8:blastula	0.98842231708323	zf-GATA	1.39863350928726	0.622	0.148	6.2909302346843e-94	0.997254400019236	0.622	0.345	2.38307121231829e-60
dorsal marginal zone	hpfS10	zic3	5	0.267116775793651	S10:dorsal marginal zone_S8:blastula	0.98842231708323	zf-C2H2	1.60276463616321	0.863	0.354	1.23850126365319e-135	0.563605995223797	0.863	0.774	2.62407042494565e-39
dorsal marginal zone	hpfS10	twist1	4	0.116735942039305	S10:dorsal marginal zone_S8:blastula	0.98842231708323	bHLH	1.10053928966961	0.345	0.028	1.68765930591543e-71	0.942089783405639	0.345	0.088	3.22171804888249e-80
dorsal marginal zone	hpfS10	foxc2	3	-0.0773804696543031	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Fork_head	1.28909446849672	0.309	0.017	1.53169222351872e-68	0.537897549925301	0.309	0.15	2.58580086913445e-18
dorsal marginal zone	hpfS10	id3	4	-0.0918788644424397	S10:dorsal marginal zone_S8:blastula	0.98842231708323	bHLH	1.25584444123893	0.923	0.483	2.65211078348411e-113	0.55820402851373	0.923	0.856	1.24385118402323e-41
dorsal marginal zone	hpfS10	hhex	3	-0.172830853298372	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Homeobox	0.733949600969393	0.279	0.075	2.26322924225314e-26	1.03029194274903	0.279	0.032	1.40170463052171e-131
dorsal marginal zone	hpfS10	eomes	1	-0.262248621186764	S10:dorsal marginal zone_S8:blastula	0.98842231708323	T-box	0.485837371273782	0.635	0.332	8.30338394500035e-26	1.20145154376361	0.635	0.179	2.78431548868423e-156
dorsal marginal zone	hpfS10	sall1	6	-0.454290760472718	S10:dorsal marginal zone_S8:blastula	0.98842231708323	zf-C2H2	1.1475313945327	0.723	0.314	4.87427586909675e-84	0.29468085218934	0.723	0.71	1.3249549109614e-09
dorsal marginal zone	hpfS10	gata4	3	-0.493130965716204	S10:dorsal marginal zone_S8:blastula	0.98842231708323	zf-GATA	0.625432908985612	0.309	0.105	7.54159965700733e-23	0.811033723249775	0.309	0.106	2.55110376494744e-45
dorsal marginal zone	hpfS10	foxc1	3	-0.552472020041925	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Fork_head	1.08992334324183	0.284	0.005	6.8718008813093e-71	0.253442800577727	0.284	0.157	1.31183738848936e-08
dorsal marginal zone	hpfS10	irx3	6	-0.845138699402314	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Homeobox	0.664668077628213	0.201	0.014	4.48534580301896e-39	0.400987450799831	0.201	0.087	2.11009656661536e-14
dorsal marginal zone	hpfS10	sebox	3	-0.885482068654113	S10:dorsal marginal zone_S8:blastula	0.98842231708323	Homeobox	0.60419454029948	0.218	0.03	3.97791825562491e-32	0.423303080145268	0.218	0.081	4.80986856185836e-22
dorsal marginal zone	hpfS10	hes1	6	-0.891595913464678	S10:dorsal marginal zone_S8:blastula	0.98842231708323	bHLH	0.481660207025668	0.144	0.028	1.29773107111934e-15	0.547628726187918	0.144	0.02	2.21675638342135e-53
dorsal marginal zone	hpfS10	vegt	4	-1.58762938563803	S10:dorsal marginal zone_S8:blastula	0.98842231708323	T-box	0.277252551855279	0.633	0.435	6.75778379706927e-08	0.0376614926003429	0.633	0.464	6.5997455192539e-05
ectoderm	hpfS10	sox2	13	4.32298276798083	S10:ectoderm_S8:blastula	0.999511429055095	HMG	1.72370309226952	0.86	0.189	0	1.27755461471607	0.86	0.241	0
ectoderm	hpfS10	tfap2a	4	3.13643382097706	S10:ectoderm_S8:blastula	0.999511429055095	AP-2	1.07478398559225	0.562	0.153	1.44349025040277e-121	1.21966582061602	0.562	0.116	3.11591787858741e-255
ectoderm	hpfS10	lhx5	5	2.74841643765227	S10:ectoderm_S8:blastula	0.999511429055095	Homeobox	0.873557276724263	0.646	0.202	1.18965302004542e-135	1.19068183849565	0.646	0.082	0
ectoderm	hpfS10	zic1	6	2.68870177480263	S10:ectoderm_S8:blastula	0.999511429055095	zf-C2H2	0.737703963547335	0.797	0.355	3.6262875799179e-125	1.28226977507107	0.797	0.213	0
ectoderm	hpfS10	prdm14	3	2.1887860418311	S10:ectoderm_S8:blastula	0.999511429055095	zf-C2H2	0.884708209702436	0.336	0.017	4.42072298766896e-96	0.872893475683477	0.336	0.02	1.65935375856769e-176
ectoderm	hpfS10	hmgb3	3	1.23158720473134	S10:ectoderm_S8:blastula	0.999511429055095	HMG	0.821656116850286	1	0.892	0	0.404549979575763	1	0.989	0
ectoderm	hpfS10	tfap2c	10	1.15041332450999	S10:ectoderm_S8:blastula	0.999511429055095	AP-2	0.165534934913491	0.673	0.463	5.32808821967669e-13	0.960778597033955	0.673	0.248	1.31025173491854e-218
ectoderm	hpfS10	zmiz2	1	1.10872760858325	S10:ectoderm_S8:blastula	0.999511429055095	zf-MIZ	0.873526104383962	0.58	0.09	6.93549882828954e-159	0.289525565141792	0.58	0.287	3.59666431103775e-70
ectoderm	hpfS10	nr6a1	4	1.09461273142401	S10:ectoderm_S8:blastula	0.999511429055095	GCNF-like	0.688526177758068	0.413	0.048	5.81534667840009e-109	0.45118143917955	0.413	0.102	4.68054688414021e-124
ectoderm	hpfS10	crx	5	1.0718100573862	S10:ectoderm_S8:blastula	0.999511429055095	TF_Otx	0.975707945359644	0.645	0.235	1.41159290411517e-121	0.175662485678478	0.645	0.393	1.82690738332869e-40
